"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9"
"FHAD1","C8A","AL139246.3","AL109659.2","RHCE","EMC1-AS1","AL109627.1","SLC25A34-AS1","TAS1R3"
"FAM131C","TBX15","MMEL1","AC239809.3","AL033527.4","CNKSR1","ZNF436-AS1","PADI2","AL031847.1"
"IL22RA1","ADCY10","AL354743.2","NOTCH2NLC","AC098484.4","MAB21L3","AL050343.2","ZNF436","AL606760.1"
"DLGAP3","PAPPA2","HTR1D","BCAN","AC118553.1","LINGO4","DNAJC6","TENT5B","NTNG1"
"AL139289.2","SRD5A2","GJB3","CFAP45","FAM171B","AC012462.1","NEGR1","PTAFR","ATP1A1-AS1"
"RBM15-AS1","SEMA4F","EPHA10","AL162431.1","AC093388.1","AC108751.4","MCOLN3","BMP8A","AL121987.2"
"RUSC1-AS1","TCF7L1","RHBDL2","AC013460.1","RBM44","AC106707.1","LINC01780","BMP8B","RNU6ATAC35P"
"C1orf61","IL1RL1","TCTEX1D4","AC012467.2","LINC02610","FDCSP","LINC00622","HIVEP3","AL512343.2"
"NOS1AP","UPP2","LINC01359","AC093928.1","ADAMTS9-AS2","RRH","AC242426.2","AL139220.2","ZNF669"
"TNN","PLEKHM3","AL049597.2","C3orf33","ARHGEF26-AS1","LINC02275","TUFT1","ZFYVE9","AL121652.1"
"ADORA1","ACADL","AL356488.3","AC093817.2","AC080013.6","AC025175.1","TDRKH-AS1","WDR78","AC005041.5"
"RHEX","AC090948.1","BCL2L15","ATP6AP1L","CEP19","AC011346.1","C2CD4D-AS1","PTGER3","AC073869.3"
"TOGARAM2","AC099329.2","S100A1","CATSPER3","BTC","AC146507.3","HCN3","NEXN","AC007364.1"
"BMP10","ZNF589","KCNJ10","PCDHB5","C4orf47","HIST1H3E","AL592435.1","LINC01781","CERKL"
"ARMC9","COL7A1","TDRD5","AL035530.2","AC026801.2","CAPN11","BX284613.2","MCOLN2","LINC01980"
"AC104850.2","NR1I2","AL136372.2","FRMD1","AL359643.3","AC017000.1","ZNF648","LINC01140","C3orf35"
"LSMEM2","PXYLP1","B3GALT2","AC006033.2","HIST1H1E","AL450467.1","LINC01344","GFI1","CCDC13"
"SPICE1","IGSF10","CAPN8","AC174065.1","MYB","CASC2","TNNT2","VAV3","ALDH1L1-AS2"
"SIDT1","AC092944.1","LINC01132","AC009318.2","HOXA4","UBQLNL","SNTG2","AL359258.2","MBNL1-AS1"
"IQCJ-SCHIP1","MELTF-AS1","LINC01814","AC023157.3","NME8","AP001160.4","ODC1-DT","FAM102B","AC092924.2"
"AC007920.2","DOK7","DNAJC27","PCOTH","AL353150.1","FAR2","KLHL29","ADORA3","LINC01322"
"TPRG1-AS1","AC095057.3","TRIM54","TRDC","ZNF503-AS1","AC068792.1","AC104695.3","TSPAN2","AC112907.3"
"LINC02012","CNGA1","KRTCAP3","AHSP","AL121928.1","DDN-AS1","GPATCH11","AC246785.3","USP46-AS1"
"AC024560.4","ALB","SLC3A1","AC087742.1","AL158212.5","C12orf56","OTX1","SV2A","CSN2"
"NAT8L","LINC02428","TMEM17","PITPNM3","VWA2","AC025423.4","ADD2","TNFAIP8L2","AC109361.2"
"SOWAHB","UGT3A1","SH2D6","AC005920.1","AC079329.1","AC051619.5","CYP26B1","TRIM46","AC112236.1"
"AC093849.2","NIPBL-DT","SULT1C2","LINC00470","LINC02690","AC105020.5","AC010913.1","ASH1L-AS1","AC025754.2"
"ADAMTS16","C9","DPP10","ZNF519","AC127035.1","AC009121.3","CNNM4","SYT11","GTF2H2C"
"LINC02104","RNF180","CFAP221","AC093330.1","LBHD1","NPIPA3","ARHGEF4","CRABP2","PCDHB3"
"ARSK","MLIP","LYPD6B","AZU1","OVOL1","PRCD","NCKAP5","FCRL3","AC106795.2"
"DND1","BMPER","KCNJ3","AC012313.1","LINC02381","AC018413.1","DARS-AS1","LINC01133","AL138724.1"
"PCDHGA11","ZNF117","ITGB6","LINC01620","AL049828.1","AC008764.6","AC009961.1","SLAMF6","AL353138.1"
"AC011374.2","DYNC1I1","AC019197.1","FAM209A","AL133299.1","AC006213.1","LINC01806","CD48","AL391807.1"
"AC109479.1","MICU3","SLC38A11","CR381653.1","AC084756.1","AL031666.2","PDE11A","LY9","AL023581.2"
"AL031775.1","NAT2","GALNT3","SEPTIN5","AC106028.3","TRERNA1","AC007319.1","GPR161","AL023806.2"
"TIAM2","DENND4C","KLHL41","AP000345.2","SBK1","AF064858.1","AC013264.1","RABGAP1L-DT","TCP10"
"SOD2-OT1","STX17","LINC01473","RFPL1S","NPIPB6","SIK1","USP37","LINC01705","HOXA13"
"PUS7","FSD1L","GULP1","ZC3H12B","CCDC42","ACR","PLCD4","NLRP3","AC072061.1"
"FSCN3","AMBP","SLC23A3","TRDMT1","PROCA1","AC234775.3","SLC16A14","LYPD8","AC002451.1"
"STRIP2","SCAI","BHLHE40-AS1","MT-ND6","AC003101.2","FHDC1","UGT1A1","RNF144A","CA8"
"PRSS1","FCN2","WNT7A","TTI2","RTTN","AC099791.2","CIDEC","TAF1B","FREM1"
"AC006974.1","PNPLA7","DLEC1","IGSF9B","AC018761.2","CADPS","SCN11A","ADCY3","AL592211.2"
"C8orf49","AL450384.2","CX3CR1","CHRM3-AS2","ZNF714","MSMB","ZNF852","AL133243.3","AL391056.2"
"HR","SLC35G1","LRRC2","NALCN","ATP1A3","LINC02591","CACNA2D2","VIT","PARD3-AS1"
"SLC10A5","SAA1","PFKFB4","ZNF711","ZNF284","ZNF252P-AS1","DOCK3","CLHC1","AL117336.1"
"ZFPM2-AS1","GLYATL1","MST1R","TTC30B","AL121827.1","CD200R1","ERC2","VAX2","AC016394.1"
"AC104316.2","SLC22A9","STX19","NOS2","DBF4B","SMIM11A","AC104162.2","REG1B","AL354950.1"
"AC103718.1","AP002840.2","AC110491.1","TOX2","GPR135","UBL7-AS1","LINC02021","CD8B","AL162274.2"
"CA9","APOA5","AC020651.2","LINC02611","KIF17","TRIM62","TM4SF1-AS1","EIF2AK3-DT","LRP4"
"LCN10","APOC3","HHLA2","ARIH2OS","PRMT9","LINC00494","LINC00886","IGKV4-1","AP001453.1"
"AL356056.2","APOA1","C3orf52","ZNF443","SUCNR1","MUC12","LRRC34","TEKT4","AP002495.1"
"TET1","CLEC1B","ILDR1","AL121992.3","SLC22A25","GPR84","AC016949.1","ANKRD36","ARHGAP20"
"AC016394.2","KLRD1","CASR","CEP72","LARGE2","ADGRG7","LINC02506","ANKRD36B","HTR3A"
"AL450306.1","PRH1","ACKR4","AL135999.1","PEG3","DGCR11","KIT","CHST10","SCN3B"
"NANOS1","INHBE","PAQR9-AS1","AL049795.1","NALT1","ST20-AS1","AC110611.2","IL18R1","KIRREL3"
"HBD","SOCS2-AS1","ARL14","KIAA1614","C2orf76","FP565260.3","PF4V1","GLI2","GLB1L2"
"C11orf98","STAB2","ACTRT3","ZFP14","AC011815.1","ZNF561-AS1","CXCL11","CCDC74A","AC004466.1"
"TMEM151A","LRCOL1","AC092953.2","AC233296.1","LINC01127","DUSP9","SNCA","ERMN","C1QL4"
"AC004923.4","SLC10A1","LIPH","SLC6A20","SENP8","ARMC12","AC109347.2","AC009506.1","LINC01465"
"AP000866.2","RPS6KA5","STK32B","GPR35","ZNF674","PAQR6","AC112236.2","CDCA7","AC012085.2"
"AP001318.2","SERPINA1","SLC34A2","LINC00892","AP002784.1","HLA-DQB2","SCOC-AS1","TTN","AC007541.1"
"TMEM116","GOLGA8O","CDS1","GDPD1","FBN2","ZNF208","NEIL3","PDE1A","AL133453.1"
"AC002070.1","CYP1A2","UGT8","NUGGC","PCDH18","AL133467.1","AC107214.1","AC007279.2","RIOX1"
"ABCB9","MT1H","PRSS12","PIK3R6","TRAM2-AS1","SLC16A6","TERT","MYOSLID","AL049780.1"
"LINC00539","TAT","TMEM144","ARHGEF39","CYSRT1","CDC42-AS1","AC010343.3","LINC01857","AL122023.1"
"AL139383.1","TRPV3","SLC6A19","GALR3","ZNF283","AC137630.4","TTC23L","SCG2","GSC"
"SERP2","ZNF594","AC025449.2","ROM1","HAGLROS","MAFIP","SHLD3","COL4A3","FAM189A1"
"LINC00221","LRRC37B","AC092354.2","ING2","PNLIP","CU638689.5","AC024581.1","PDCD1","AC123768.2"
"CASKIN1","SOX9-AS1","SMN2","AC004241.3","AC016831.1","MEG8","F2RL2","GHRL","AC021483.2"
"SLC5A11","ZNF77","SLCO4C1","Z93930.2","CDNF","AC110285.2","AC093206.1","RARB","CD2BP2-DT"
"ZFP1","FUT6","CCDC192","EID3","ZNF799","ZNF555","FGF1","LINC02084","CCDC113"
"ADAMTS18","ADGRE1","SMIM32","ITGA9-AS1","AP006222.2","LRMP","ZBED8","EOMES","AC027682.4"
"SLFN12","PALM3","MSX2","AL031058.1","ZNF69","HIST3H2A","KCNIP1","AC092053.2","VAC14-AS1"
"AC103810.2","PGLYRP2","ZNF354B","AL353796.1","ZNF415","LINC01315","AL441883.1","ZNF501","AC002091.1"
"AC139530.1","CYP4F22","BTNL8","BICDL2","WDR66","ZNF570","AL137003.2","XCR1","ARL17A"
"ZNF407","IQCN","HIST1H2BG","CDKL5","AL049795.2","NBPF3","HIST1H2AE","CCR2","AC091180.2"
"LYPD3","CYP2A6","SFTA2","ZSCAN25","AC004812.2","AC015912.3","HIST1H2BH","SEMA3G","NACA2"
"PNMA8A","AP001065.3","PSORS1C2","BCL9","CACNB4","CD274","HIST1H4H","C3orf14","SCN4A"
"AC008403.2","IGLV3-25","POU5F1","DPH1","AFAP1-AS1","MAFTRR","HSPA1L","SUCLG2-AS1","SCAT1"
"DNAAF3","MPPED1","SLC44A4","NRAV","DLX2","SIGLEC5","AL109615.4","PDZRN3","AC018529.2"
"ZNF773","CLTRN","Z84485.1","KCNN3","GPSM2","TMEM139","PKHD1","NXPE3","AC020907.1"
"AL390198.1","CCDC120","RAB44","C10orf143","NXPH3","AC021097.1","AL139274.2","LINC00882","FUT2"
"AL023803.3","KDF1","PGC","AC100814.1","PIK3CD-AS2","AC064807.4","AL022067.1","BTLA","VSTM1"
"CBLN4","FCN3","AL512274.1","AC007528.1","AL133410.1","INCA1","ARMC2","CCDC191","ZNF416"
"URB1-AS1","LBX2-AS1","ADGRF1","PRPF40B","HHAT","WT1","AL390208.1","LSAMP","ZNF497"
"BX322562.1","UGT2B7","CRISP2","GLI1","RBM34","FGF11","TRAF3IP2-AS1","MYLK-AS1","SPEF1"
"AC000068.1","FGB","CRISP3","MAP6D1","LINC02452","TP73","SLC35F1","MRAS","ADRA1D"
"Z95115.1","ZNF484","SPACA1","FAM161A","CAND2","CORT","LINC00271","NMNAT3","AL132765.2"
"APOBEC3A","LCN12","AL024508.2","CRAMP1","C19orf54","AL021707.2","RGS17","GPR171","OVOL2"
"ADM2","SAA2","IL20RA","IGSF3","LINC00996","CRYBB3","BX322234.1","P2RY14","NKILA"
"TLR8","GLS2","AL009176.1","AC068631.1","KIAA1958","PTGFR","GET4","LEKR1","HSF2BP"
"RIPPLY1","ADAMTS7","AC093627.4","C1orf216","AL590133.2","MIR600HG","SLC29A4","PTX3","LINC00896"
"AC008443.5","PLIN1","AC092171.1","UTP14A","TRIM59","PRELID2","KLHL7-DT","MLF1","SREBF2-AS1"
"KTN1-AS1","HP","DGKB","EME1","SMIM5","AC026803.3","GPR141","AC080013.1","ARSF"
"AC022816.1","KCTD11","AGR3","ERCC8","TLR6","AC079949.2","AC004938.2","LAMP3","XAGE1B"
"ATAD5","EMID1","AC073349.1","N6AMT1","TTC26","TFPI2","DLX5","AC107294.2","ZNF300"
"ZNF181","CRP","MAGI2","ZKSCAN3","AC108519.1","CBLN1","AC004522.5","MB21D2","ANKDD1A"
"AL117379.1","APOA2","TAC1","TCEANC2","CHAD","CDC25C","AC007384.1","LRRC15","AC119403.1"
"LAMTOR5-AS1","AADAT","MUC3A","ZBTB2","TMPRSS13","AL022162.1","AC007032.1","WDR53","DDTL"
