"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
"IGSF21","ATAD3C","PLEKHN1","GABRD","KLHL17","SAMD11","AL645728.1","C1QTNF12","CDC42-AS1","BEND5","LINC02593"
"IL22RA1","CDK11B","TAS1R3","AL034417.3","TNFRSF4","MRPL20-AS1","AL139246.3","TMEM52","POU3F1","BNIPL","PLCH2"
"GUCA2B","ARHGEF16","LUZP1","HSPB7","SLC25A34","MIR34AHG","TRIM62","AL021155.5","MAB21L3","CENPL","AL139246.5"
"C1orf210","TNFRSF9","SPOCD1","LINC01772","LINC01355","FBXO2","BTBD19","AL031432.4","CD101","CCNT2-AS1","TMEM201"
"CCDC163","SLC45A1","CLSPN","Z98257.1","EYA3","AL137802.2","EXTL2","SYNC","LIN9","AC092620.1","RBP7"
"SLC5A9","EPHA2","MTF1","MATN1-AS1","GMEB1","CROCC","LAMTOR5-AS1","ZMYM1","CDCA7","AC022007.1","CENPS"
"LINC02777","BX284668.5","RLF","LINC01778","SNRNP40","KLHDC7A","LINC02802","TTLL7","ADAM23","NAT8L","ARHGEF19"
"CACHD1","UBXN10","ROR1","FABP3","HDAC1","CDA","DCST1-AS1","AC239800.2","BHLHE40-AS1","ARL9","MFAP2"
"SLC16A4","FAM43B","SGIP1","RAVER2","ZBTB8A","PDIK1L","AIM2","HIST2H2BE","AC093010.2","AC124016.1","OTUD3"
"ILDR2","KIF17","ODF2L","AL078459.1","RNF19B","GPATCH3","PLA2G4A","TUFT1","AC096586.1","SLC45A2","WNT4"
"SLC41A1","ZNF436","CCDC18-AS1","LRRC8C-DT","ZMYM6","NR0B2","B3GALT2","EFNA3","TEC","TFAP2A","ZBTB40"
"FLVCR1-DT","IFNLR1","TRMT13","WNT2B","LSM10","BSDC1","CR1","KCNJ10","AL353597.1","PI16","KDM1A"
"WNT9A","MACO1","SRGAP2B","AC246785.3","C1orf109","COL9A2","SNTG2-AS1","ITLN1","CRIP3","GUCA1B","NCMAP"
"GDF7","PIGV","NBPF20","AC239809.3","UTP11","TMEM53","SPAST","KIAA1614","CAHM","AL021368.1","MAN1C1"
"DGUOK-AS1","TENT5B","NBPF10","TNR","MYCBP","TCEANC2","IGKV3-11","AC104794.5","AL135910.1","AL050338.2","SLC30A2"
"TBC1D8","AL353622.1","NBPF14","LINC01348","IPO13","LINC01767","GPR39","AL133245.1","ZNF853","AL139393.3","SMPDL3B"
"DARS-AS1","SESN2","NBPF9","AL359921.1","AL604028.1","OMA1","NMI","MORN2","AC055822.1","LINC02544","RCC1"
"SCRN3","TRNAU1AP","FCGR1A","CMPK2","FAF1","LINC01702","ERMN","C2orf81","TRPA1","AC004540.1","ADGRB2"
"OSBPL6","AL049795.2","RAB13","ID2-AS1","CC2D1B","GBP7","PLEKHM3","LBX2-AS1","AL133410.1","AC005070.3","FAM167B"
"C2orf88","KIAA1522","PYHIN1","TOGARAM2","MYSM1","RPAP2","AC012510.1","MAL","FOSL1","WDR86-AS1","YRDC"
"AC097639.1","AGO1","CD84","AC016995.1","ST6GALNAC5","ALG14","GPD1L","FBLN7","CLEC1B","HR","ZFP69"
"VIPR1","MYCL","USF1","AC015982.2","AC103591.3","RWDD3","CCRL2","MYO7B","ENOX1","LETM2","HIVEP3"
"AC099778.1","AL031985.3","DDR2","PUS10","IFI44L","AL160006.1","C3orf67","AC012306.2","FAM124A","AC009902.2","SVBP"
"CCDC71","ARMH1","FAM78B","SEMA4F","LRRC8D","ST7L","ADGRG7","SP5","KLHL33","ANKRD18A","KIF2C"
"LNP1","CCDC17","NME7","MYO3B","GLMN","HJV","SEMA5B","HOXD8","COCH","AL512631.1","MOB3C"
"ZBTB11-AS1","CYP4A22","PRRC2C","AC007319.1","AC093157.1","AC244033.2","EPHB1","PDE11A","AC010654.1","P2RY6","SPATA6"
"ERICH6-AS1","CPT2","RGS16","LINC01857","S1PR1","ADAMTSL4","PCOLCE2","NUP35","AC079414.3","AC007406.5","GPX7"
"AC007920.2","YIPF1","DSTYK","EPHA4","HENMT1","ANXA9","TMEM44-AS1","CCDC150","HS3ST3A1","RAD52","TTC22"
"LPP-AS2","FYB2","PFKFB2","AP1S3","CSF1","THEM4","CCDC149","TRAF3IP1","ZNF558","KLRF1","HHLA3"
"PDE6B","AL354872.2","PTPN14","THRB-AS1","RBM15","GATAD2B","ZCCHC4","CHL1","AC022148.2","PRR4","FPGT"
"AC027607.1","ERICH3","SDCCAG8","ACVR2B","PPM1J","CKS1B","THAP6","CIDEC","ZNF677","TSPAN11","ADGRL4"
"LNX1","ACADM","MEMO1","C3orf62","SRGAP2C","CD1E","CXXC4","C3orf35","ZNF341","KRT72","AC105942.1"
"FAM13A-AS1","GIPC2","GPATCH11","SEMA3B","ITGA10","FCRLA","LINC02273","AMIGO3","AL133342.1","AC121761.2","DPH5"
"ING2","ZNF326","TTC7A","HHLA2","NBPF12","HSD17B7","GALNT7","COL6A6","AP000550.1","RASSF9","AL356488.2"
"AC008966.2","BTBD8","REL","BTLA","SCNM1","TADA1","CCNB1","WWTR1-IT1","AL590764.1","LINC00562","CELSR2"
"F2RL2","PTBP2","IGKC","GRAMD1C","KHDC4","VAMP4","KIAA0825","SIAH2-AS1","ZNF85","SOX21","KCNC4"
"AC026726.1","SYPL2","ANKRD36","SLC15A2","KIRREL1","DARS2","CCNI2","LINC02029","PLEKHB1","LINC01297","KCNA2"
"TICAM2","CEPT1","AC092683.1","HSPBAP1","CD247","CACYBP","AC011374.2","TM4SF19-AS1","AC093627.5","FAM71D","KCNA3"
"SIMC1","OVGP1","ANKRD36B","RAB6B","RCSD1","TRMT1L","GEMIN5","AC016773.1","HCRT","ISM2","AL355816.1"
"HIST1H4H","KCND3","ZC3H6","CPA3","PIGC","LAD1","MXD3","JAKMIP1","MEAK7","SPTBN5","INKA2"
