"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22"
"MORN1","PLEKHN1","AL627309.5","MEGF6","CDK11B","AL627309.1","HES5","NMNAT1","LINC01409","HSPB7","MMP23B","AL356488.2","LINC02606","HYI-AS1","LINC01143","RPL22","AL691432.4","AC104836.1","AL512353.1","C1QTNF12","ARL9","AL391244.2"
"KAZN","SLC35E2A","SAMD11","PDPN","LNCTAM34A","TTLL10","AC254633.1","SRARP","MXRA8","KIF17","PRKCZ-AS1","C1orf194","AL445183.2","Z99943.1","UCN2","AL031005.1","AL391883.1","LINC01780","ZKSCAN7-AS1","TNFRSF14-AS1","AC095055.1","MASP2"
"CLCNKB","MIR34AHG","TNFRSF4","WNT4","CPLANE2","FO704657.1","EMC1-AS1","AL109627.1","CDK11A","SLC1A7","DFFB","CHRNA1","KCNJ9","AC231981.1","LRIT3","CELA3A","AC004865.2","ASPRV1","AC026412.3","AL359881.1","NIM1K","CYP4A11"
"PTAFR","AL139424.2","ATAD3C","EPHB2","AL031728.1","CDK11A","CSMD2","KLHDC7A","AL031847.1","LEXM","SLC45A1","AC108673.2","MARCO","AC091488.1","AC104596.1","RPL11","KANK4","AC006994.2","AC021086.1","KAZN","AC011407.1","DIO1"
"AL139286.2","PRDM2","TMEM240","RUNX3","ELOA-AS1","AL139246.5","GJB3","EMC1","AL034417.4","AC093424.1","SPSB1","MCF2L2","AC016910.1","CLRN1-AS1","AC138409.3","RPS8","AL121990.1","SCG2","STARD4-AS1","UQCRHL","STEAP1B","SERPINC1"
"KCNQ4","TMEM51-AS1","AL691432.2","LCK","GRHL3","PRDM16-DT","CCDC30","RAP1GAP","FBXO6","LINC01725","NMNAT1","LINC02516","C3orf56","AC010501.2","ITK","EFCAB7","EPCAM-DT","AC110619.1","GSTA5","UBXN10","AC009630.1","CFHR1"
"SLC2A1-AS1","CLCNKA","SLC35E2A","COL8A2","MATN1","KCNAB2","CYP4X1","AL109936.2","DRAXIN","PLPPR4","TNFRSF1B","AC004877.1","FAM151B","TINAG","LINC01600","RPL5","AC013731.1","MARCH11","AC002456.1","NBPF3","AL121928.1","CFHR4"
"FAM183A","CRYBG2","PANK4","HIVEP3","AZIN2","PLEKHG5","SGIP1","PIGV","CLCN6","AC104506.1","CASP9","AC021242.3","AC104116.1","CTAGE4","BMPER","AC239868.1","AC010735.2","HUS1B","C7orf61","CDC42-AS1","CABP1","CFHR5"
"AC103591.3","SFN","AL357140.2","TRABD2B","ZSCAN20","GPR157","PTPN22","SESN2","CTRC","AL162258.2","AL121992.3","NTRK2","HIST1H2AM","XKR6","AC079781.5","OAZ3","CCDC36","VIPR2","GATA3","ZNF436-AS1","LINC02301","LINC01354"
"FRRS1","MATN1-AS1","AL109811.2","PODN","OXCT2","SLC25A34","BCL2L15","TMEM234","LDLRAD2","AL139011.1","FAM131C","HACD1","COL19A1","PRDM12","GSDMC","S100A10","AC128687.2","FAM99A","LINC00865","GPN2","CRTC3-AS1","AC012073.1"
"GSTM1","ZCCHC17","FHAD1","IFI44L","AL031985.3","IGSF21","PPIAL4G","ZMYM1","NIPAL3","RGS18","IFFO2","AL359198.1","AC104964.4","TNKS2-AS1","AL133284.1","RPS27","LINC01088","AC068580.5","FZD4-DT","TRNP1","AP001062.3","TRABD2A"
"TMIGD3","FNDC5","TMEM82","CCN1","PTCH2","AL137127.1","ACKR1","SNIP1","MACO1","ASCL5","ALPL","INSC","AC087854.1","TMEM132B","C1QTNF9","SSR2","AC084740.1","MMP10","AL137246.1","EYA3","ADAMTS9-AS1","LYPD1"
"NBPF26","STK40","LINC01783","GBP5","TESK2","MRTO4","AL121987.2","RIMS3","AUNIP","CR1","LINC01355","AF111167.2","POMK","RYR1","TGM1","CCT3","AL031963.2","AC121338.2","GAS6-DT","FABP3","AC022098.4","SPP2"
"AL592494.2","CSF3R","OTUD3","VAV3","COA7","LINC01635","AC244034.2","KDM4A-AS1","C1orf232","MIR29B2CHG","IFNLR1","AL162171.3","FOXD4","APOBEC3H","SERPINA9","APOA2","AL138824.1","LINC00239","EWSAT1","MTF1","CYSRT1","SLC6A1"
"ANKRD34A","LINC01137","AL031005.1","CD2","DAB1","ZNF436","HSD11B1","ST3GAL3","UBXN11","TRAF3IP3","AUNIP","NSMCE1-DT","LCN6","L1CAM","AC011912.1","MPC2","AL023806.1","AC012291.3","LINC01152","TCTEX1D4","ELFN1-AS1","TDGF1"
"FCGR1A","AL033527.2","STPG1","VTCN1","LINC01135","E2F2","MIXL1","ARTN","SLC9A1","ZC3H11B","FGR","LINC00304","PRKCQ-AS1","AL162713.1","AC013553.4","ATP1B1","RUNDC3B","IL21R-AS1","TINCR","CCDC17","TREML1","P2RY13"
"AL358472.3","TAL1","PAFAH2","HAO2","AC099791.2","MYOM3","AL359704.3","SLC6A9","PHACTR4","AL512343.2","FAM76A","WNT9B","AL356056.2","DLX2-DT","PRSS27","PRDX6","AC002542.6","NETO1","TTLL9","SPATA6","PLPP4","LEKR1"
"ITLN2","FOXD2","IFI6","GJA5","LINC01359","PDIK1L","SILC1","AL139220.2","RAB42","IBA57-DT","FNDC5","SP6","MYBPC3","AC007406.2","TEKT5","GAS5","NKX3-1","LINC00653","KCNG1","AL031429.2","PIP5KL1","LRRC31"
"MPZ","TTC4","SNRNP40","S100A6","NEXN","RPS6KA1","AC093702.1","LRP8","TRIM62","LINC00954","OSCP1","AC015813.4","PPP1R32","HORMAD1","AC106782.5","EPHX1","AC124290.1","CU633967.1","CU633906.2","LRRIQ3","FOCAD-AS1","RTP4"
