"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12"
"C1orf159","MXRA8","PANK4","AL627309.1","TNFRSF4","PLEKHG5","TP73","AL645728.1","AL078621.4","GPR37L1","C1QTNF12","LINC01355"
"ATAD3B","DFFB","MFAP2","TMEM240","MEGF6","PRDM2","RCC1","AL603839.2","LAMP3","UNC80","SPATA21","FAM76A"
"AL139246.1","AL121992.3","IFFO2","PRDM16","KCNAB2","SLC25A34","ZSWIM5","TMIGD3","CCDC110","CAMKV","UBXN10","TCEANC2"
"RNF207","ALPL","TMCO4","CLCNKB","GPR153","UQCRHL","RAD54L","AC239803.1","SEPTIN7-AS1","U91328.3","C1orf109","SYDE2"
"MIR34AHG","MAP3K6","Z98257.1","MFSD2A","PIK3CD","FCN3","CD1D","SELL","BDNF","PSORS1C3","TCTEX1D1","WDR47"
"VPS13D","IQCC","PAFAH2","KTI12","TMEM51","SNHG12","NOS1AP","AL022310.1","MMP7","LINC00951","WLS","FCRLA"
"PLEKHM2","OSCP1","RPS6KA1","LINC01748","IGSF21","CYB5RL","CATSPERE","AC016907.2","B4GALNT3","AL139393.3","AL354872.2","AL023755.1"
"SPEN","STIL","KDF1","GBP7","C1QC","MROH7","CENPA","AC079753.2","LINC02321","AC004593.2","SPATA1","NUAK2"
"AL137127.1","ACOT11","MANEAL","AC099568.2","AL020996.1","AC135803.1","LOXL3","RARB","AC018761.2","AC005070.3","AMIGO1","LAMB3"
"NBL1","LINC02777","YRDC","AC104506.1","SLC9A1","ADGRL4","AC016745.2","VIPR1","KIR3DL2","PNMA2","SIKE1","MAP10"
"RAP1GAP","F3","BMP8B","AL353807.5","PTAFR","PKN2-AS1","SCN9A","AC110792.3","ZNF671","SCT","TTF2","WDCP"
"NIPAL3","AL391069.2","PPIH","SYT11","COL16A1","KYAT3","UGT1A4","LINC01194","AL121899.4","DDIAS","FCGR1A","AC009309.1"
