,Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9
AL627309.1,0.000735853,0.000173912,0.002240636,0.000201514,0.000331002,0.000187794,0.00180604,0.000398053,0.000403817
AL627309.5,0.007831107,0.000418458,0.219463438,0.000321071,0.000308929,0.000221167,0.002714679,0.000865041,0.000572391
AP006222.2,0.00734752,0.000484231,0.002290514,0.000237638,0.041311212,0.000191511,0.002548639,0.003353031,0.000410023
LINC01409,0.016363133,0.001827909,0.00213747,0.000352285,0.037602529,0.000121492,0.003061814,0.004426899,0.000412442
FAM87B,0.000606029,0.000176073,0.002406871,0.000217466,0.000246074,0.00015079,0.001961303,0.000437724,0.000322598
LINC01128,0.041174509,0.01668793,0.210166931,0.040783402,0.000309484,0.029609052,0.002443803,0.001937812,0.050854418
LINC00115,0.000777089,0.003196798,0.002369693,0.000395365,0.000285446,0.000151192,0.003189935,0.002667518,0.000324622
FAM41C,0.003712405,0.000310625,0.002350752,0.000302637,0.000408724,0.000216004,0.002205104,0.001439741,0.00032185
LINC02593,0.000609309,0.002913538,0.006154501,0.000543974,0.041439049,0.000142714,0.146140844,0.04137798,0.000571793
SAMD11,0.025813589,0.024070986,0.00516001,0.000123325,0.000272647,0.000166312,0.131542578,0.048852779,0.045385763
NOC2L,0.308364779,0.074724466,0.963807523,0.000105626,0.045821156,0.086179316,0.703196645,0.035988297,0.047014464
KLHL17,0.13551639,0.025042111,0.003158962,0.065264031,0.04805173,0.000564148,0.149476483,0.028645927,0.000293881
PLEKHN1,0.00409556,0.000230923,0.227234468,0.000334239,0.000220563,0.000144523,0.002460358,0.013818174,0.000228706
AL645608.7,0.010607883,0.001416997,0.003866133,0.000253462,0.000341942,0.000165343,0.003078206,0.001420598,0.000651991
HES4,0.197258815,0.158921868,0.034811951,0.076809503,0.090455726,0.025752995,0.505988777,0.232107028,0.118854158
ISG15,0.433721572,0.311148137,0.974415362,0.208302066,0.083213106,0.089364246,2.020458698,0.320690185,0.334748119
AGRN,0.120057106,0.015348037,0.51321876,0.000715718,0.112250336,0.058488648,0.006772704,0.074794285,0.049050853
RNF223,0.00056583,0.000190574,0.002153276,0.000247721,0.000209592,0.000159643,0.001940978,0.000377746,0.000285993
C1orf159,0.017364135,0.041463282,0.225492448,0.000389345,0.000262835,0.026225066,0.263053149,0.02751339,0.001112542
LINC01342,0.000505726,0.000162107,0.002071942,0.000211799,0.000220645,0.000162852,0.001845448,0.000369755,0.000283674
AL390719.2,0.001513369,0.000764604,0.003944425,0.000398811,0.000419312,0.000255119,0.003043004,0.001233351,0.000522407
TTLL10,0.000486856,0.000184319,0.002117142,0.00022643,0.000239599,0.000146509,0.001983755,0.000759679,0.000376896
TNFRSF18,0.03865036,0.009635361,0.239658922,0.047254298,0.044469502,0.000424692,0.002156331,0.0295058,0.000194054
TNFRSF4,0.013518683,0.033196647,0.004135477,0.129772663,0.000300463,0.000295401,0.133344382,0.123334847,0.051561508
SDF4,0.260674596,0.26128009,0.993037939,0.29793936,0.127363473,0.091214031,1.656214952,0.311893463,0.17492117
B3GALT6,0.254378319,0.011330825,0.769824684,0.090009511,0.049594007,0.040984359,0.552504957,0.0614186,0.078315489
C1QTNF12,0.001389716,0.001280268,0.002427798,0.00026884,0.000388184,0.000326471,0.002523374,0.001505592,0.000480116
UBE2J2,0.141742289,0.083608992,0.229968071,0.093141027,0.001660182,0.031597506,0.388168156,0.123432517,0.141841084
SCNN1D,0.011911343,0.034357853,0.002462524,0.001454903,0.000914819,0.002167215,0.14380765,0.016920391,0.00118005
ACAP3,0.189422563,0.09822198,0.495069027,0.000149481,0.112449795,0.038266741,0.460291803,0.103606276,0.119983971
PUSL1,0.136539489,0.000267472,0.414095521,0.096725665,0.041672952,0.038733847,0.426801175,0.032222513,0.037391312
INTS11,0.257673264,0.071076564,0.688639045,0.044583876,0.047536235,5.87E-05,0.547445834,0.089601852,0.172068551
AL139287.1,0.000506895,0.000183814,0.002096551,0.000228441,0.0002226,0.000175927,0.001743473,0.000445833,0.000409296
CPTP,0.22138983,0.117948771,0.001783024,0.116951667,0.067399919,8.18E-05,0.475022733,0.056927048,0.146417946
TAS1R3,0.000482233,0.000311181,0.002183282,0.000202444,0.000177467,0.000133181,0.002105307,0.000373754,0.038236048
DVL1,0.115251131,0.027742127,0.006950956,0.048099495,0.056897227,0.075389378,0.371361256,0.149872884,0.062866822
MXRA8,0.045692548,0.108978115,0.532366693,0.080301829,0.000235455,0.000112372,0.800232112,0.257541358,0.076940455
AURKAIP1,0.431326628,0.316591829,0.712182164,0.199711114,0.11877802,0.157561943,2.015613079,0.332383901,0.301730812
CCNL2,0.27410385,0.256951421,0.856786251,0.185358673,0.081014961,0.036227338,0.946753025,0.263275355,0.110814333
MRPL20-AS1,0.126783684,0.000369454,0.005001544,0.00024071,0.041670389,0.000191081,0.118223831,0.014020644,0.000264001
MRPL20,0.380276203,0.293307453,1.130202055,0.17294769,0.129392803,0.119789921,1.083854198,0.374099702,0.197557226
AL391244.2,0.008805428,0.000755051,0.213120729,0.000209389,0.000159732,0.000129518,0.002749698,0.001155348,0.000472639
ANKRD65,0.005385111,0.002320134,0.002866061,0.000317652,0.000445162,0.000148508,0.127427623,0.016283982,0.000509906
LINC01770,0.000712061,0.000164627,0.003035251,0.000226487,0.000351347,0.00032273,0.002255505,0.000582354,0.00029774
VWA1,0.359119505,0.262657642,1.351589322,0.087267138,0.21709688,0.061408706,1.84163332,0.257142812,0.397610188
ATAD3C,0.018849548,0.009536482,0.003875591,0.043833502,0.000602142,0.031187659,0.113962322,0.001874754,0.040948495
ATAD3B,0.239709303,0.147075281,0.519109547,0.126874223,0.110358849,0.060730133,0.526092708,0.082121022,0.120612547
ATAD3A,0.15974234,0.088772625,0.234235689,0.065004304,0.000155611,0.000579457,0.829262316,0.031070767,0.197073728
TMEM240,0.003514508,0.00018613,0.002184181,0.000122927,0.000154488,0.031818826,0.122483075,0.001512215,0.000267291
SSU72,0.430244893,0.224342018,1.421642303,0.170268655,0.160325736,0.093378671,1.245941997,0.352223516,0.310198218
FNDC10,0.001112336,0.003971616,0.007173524,0.000151425,0.00026671,0.000359154,0.002579531,0.010768484,0.000503785
AL691432.2,0.000647175,0.01112456,0.018011391,0.000468375,0.00055321,0.000476722,0.002982102,0.004701287,0.000415945
MIB2,0.091350332,0.059874728,0.046380088,0.042099413,0.000162434,0.000579412,0.002553601,0.157141373,0.086092636
MMP23B,0.020299084,0.045242134,0.014076229,0.015264223,0.083710477,0.034139518,0.537149191,0.159474015,0.112500459
CDK11B,0.002068889,0.001532383,0.00435845,0.00054146,0.000419702,0.000237717,0.002477975,0.011246964,0.000544345
FO704657.1,0.005192184,0.000418186,0.003130168,0.000373754,0.000309706,0.000236972,0.002224565,0.00303215,0.000395074
SLC35E2B,0.085889183,0.019690739,0.806255758,0.000229456,0.000212583,5.24E-05,0.134279028,0.04642003,0.041537806
CDK11A,0.010233102,0.001438694,0.003211446,0.000233834,0.000783848,0.000514961,0.156634748,0.067533545,0.001132877
SLC35E2A,0.025356777,0.00146569,0.002082349,0.001566452,0.000290856,0.00016403,0.151106656,0.068172283,0.042924151
NADK,0.190763146,0.094453424,0.475292534,0.115191445,0.082353532,0.060579028,1.178588986,0.059757631,0.273114443
GNB1,0.544717133,0.185570508,1.495374322,0.200731888,0.168617263,0.062037431,1.627501369,0.438322097,0.26160273
CALML6,0.006927217,0.000194439,0.00228442,0.000218535,0.00021078,0.000153117,0.002036518,0.00056252,0.000303227
TMEM52,0.012619198,0.003819729,0.002146135,0.00046417,0.000845405,0.000472843,0.005202034,0.005655562,0.000592502
CFAP74,0.000530501,0.000201871,0.002180284,0.000290277,0.000212972,0.000162835,0.001977781,0.000375865,0.000398226
AL391845.2,0.000501776,0.000169539,0.002060158,0.000190319,0.000214057,0.000162213,0.001933629,0.000432108,0.00028822
GABRD,0.004724623,0.004041411,0.002211454,0.041205514,0.000238176,0.00014629,0.00450924,0.009258525,0.000376131
PRKCZ,0.030816799,0.053411845,0.003263283,0.048905607,0.000240187,0.033079796,0.160836011,0.013409486,0.050428711
AL590822.2,0.000487719,0.00014625,0.002170101,0.000216202,0.000215795,0.000164356,0.001738852,0.000385914,0.00028749
PRKCZ-AS1,0.000581487,0.000234531,0.002198939,0.000265356,0.00023138,0.000246843,0.001777524,0.000362681,0.00030429
FAAP20,0.362699389,0.286339998,1.077921391,0.207403347,0.138309956,0.160205051,1.712566853,0.354705572,0.252361327
SKI,0.104411364,0.06699875,0.555950522,0.000119062,0.000573013,0.069550954,0.14964512,0.09311755,0.000266515
AL590822.3,0.000692206,0.000427209,0.002322697,0.000229742,0.000212982,0.000157745,0.00201359,0.000542347,0.000293472
MORN1,0.018961783,0.000274151,0.007904829,0.000113142,0.000285887,0.000123049,0.137167439,0.002332065,0.000711657
AL513477.2,0.009124743,0.000270103,0.002348326,0.000409837,0.000416707,0.000178278,0.003094626,0.001299656,0.00030654
RER1,0.569688261,0.195100456,1.324648261,0.084219001,0.144755438,0.11624036,1.190146685,0.228216276,0.248294666
PEX10,0.23461096,0.021297717,0.001468245,0.050507311,0.101137914,0.053538844,0.402651101,0.047332417,0.001219017
PLCH2,0.018983223,0.009335179,0.002896579,0.000463642,0.000197316,0.000324027,0.003107582,0.009396767,0.000398301
PANK4,0.019028336,0.00282064,0.002525908,0.000382639,0.047365595,0.000115764,0.126512229,0.024190467,0.000247107
HES5,0.001514613,0.001357522,0.002670985,0.000284397,0.000316988,0.000372014,0.003993724,0.005363936,0.000509358
AL139246.5,0.007726002,0.033080198,0.001899773,0.000223456,0.000383965,0.000111309,0.137640163,0.045615908,0.000434769
TNFRSF14-AS1,0.008184359,0.010408338,0.002833694,0.000143755,0.042553775,0.000566244,0.003462758,0.028531097,0.000456764
TNFRSF14,0.286870986,0.277508974,1.213425159,0.101178564,0.069994271,0.080964878,0.714594066,0.282510519,0.20800817
AL139246.3,0.000471765,0.000120403,0.213041618,0.000158179,0.000168971,0.000132043,0.001523213,0.000448028,0.00031256
PRXL2B,0.100926779,0.000462727,0.57577908,0.067167036,0.112217933,0.03695472,0.006966514,0.029002592,0.0849571
MMEL1,0.000643707,0.00015988,0.556994617,0.000130288,0.000267206,0.00015445,0.002090916,0.000581736,0.000278613
TTC34,0.000608627,0.000264792,0.002458616,0.000242252,0.000226705,0.000151788,0.001964453,0.000617093,0.000318145
PRDM16-DT,0.002312808,0.000606106,0.003136444,0.000213212,0.000166021,0.033054359,0.123208977,0.0173456,0.000424748
PRDM16,0.007173157,0.000333089,0.003017622,0.000180789,0.000272649,0.000184672,0.002161152,0.001982037,0.000360944
AL354743.2,0.000758883,0.000114341,0.423066944,0.000123573,0.000165042,0.000126025,0.001696042,0.000222164,0.000265087
ARHGEF16,0.113531232,0.013467111,0.230551556,0.00045361,0.000687531,8.32E-05,0.003801942,0.010970712,0.04147983
AL512413.1,0.000476475,0.000245001,0.001990281,0.000207329,0.000299623,0.000193881,0.001710707,0.000383905,0.000382756
MEGF6,0.097599968,0.061059371,0.906440854,0.04997452,0.082800537,0.036210768,0.313322634,0.140102312,0.133164674
AL513320.1,0.000504877,0.00014965,0.002352535,0.000221406,0.000206228,0.000160147,0.00175164,0.000962342,0.000277391
