"","Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11"
"AL627309.5",0.00248051807284355,0.00290422630496323,0.000215690655750223,0.00315521517768502,0.00253601721487939,0.00219909544102848,0.00118704105261713,0.0028439755551517,0.000144294230267406,7.90240883361548e-05,0.000706151127815247
"AP006222.2",0.00224296632222831,0.00237912964075804,0.000162103708134964,0.00258765718899667,0.00811553373932838,0.00361719937063754,0.000928686349652708,0.00274716899730265,0.000115271803224459,8.18120097392239e-05,0.000715933623723686
"LINC01409",0.00219401996582747,0.00181403639726341,0.000119142925541382,0.00193571276031435,0.00208667758852243,0.00221372884698212,0.00644741579890251,0.00250555505044758,0.000185210825293325,7.85208103479818e-05,0.00083313969662413
"LINC01128",0.00518711376935244,0.0520160533487797,0.000123256642837077,0.424041837453842,0.00126240763347596,0.00116351270116866,0.000807514821644872,0.00293124536983669,0.000154187073349021,9.29517264012247e-05,0.0254918485879898
"LINC00115",0.0024954117834568,0.00249986303970218,0.00118619599379599,0.0029581394046545,0.00270856753922999,0.00340681569650769,0.0101217562332749,0.00333149312064052,0.00016571074957028,0.000161458796355873,0.0212400704622269
"LINC02593",0.00271870708093047,0.00458030449226499,0.000713637680746615,0.00318365101702511,0.00586648238822818,0.00393848866224289,0.00101417722180486,0.00451982766389847,0.000149974133819342,6.87083229422569e-05,0.01681799441576
"SAMD11",0.0035479327198118,0.0329513549804688,0.000140235162689351,0.00185893999878317,0.00207154243253171,0.904429078102112,0.0179327800869942,0.0028331212233752,0.000267959403572604,7.35407520551234e-05,0.0258655250072479
"NOC2L",0.445201486349106,0.724401235580444,0.00613871542736888,0.478111356496811,0.00536074815317988,0.002901446307078,0.143645882606506,0.0043478780426085,0.000135117647005245,0.000559882610104978,0.0405305698513985
"KLHL17",0.00186574598774314,0.00928000081330538,0.00957327894866467,0.405219852924347,0.951343536376953,0.00222822441719472,0.0202835667878389,0.00444279750809073,0.000244452792685479,0.000140434698550962,0.00317239039577544
"PLEKHN1",0.00272627989761531,0.0035204456653446,0.00909895915538073,0.00501452898606658,0.00327887176536024,0.00306805339641869,0.00243589468300343,0.00532979471608996,0.00010527628910495,0.000236564344959334,0.00116654462181032
"AL645608.7",0.00259999115951359,0.00194881006609648,0.000227059019380249,0.00196369318291545,0.0023390909191221,0.00218797218985856,0.000631415925454348,0.00300373928621411,0.00011394867033232,8.92474854481407e-05,0.000560073181986809
"HES4",0.561297655105591,0.564807832241058,0.0150295877829194,0.00404564617201686,0.0202068779617548,0.00671311328187585,0.00516351033002138,0.00546722393482924,0.000175412293174304,0.000129807784105651,0.130037516355515
"ISG15",0.6925910115242,0.198629900813103,0.0196560341864824,0.0015723176766187,0.00710851326584816,0.00149971432983875,0.00295254657976329,1.08527386188507,0.00024756186758168,9.74762806436047e-05,0.0462667718529701
"AGRN",0.553781509399414,0.083370067179203,0,0.395428448915482,0.00119723379611969,0.00182643916923553,0.0259114615619183,0.00281848944723606,0.00010624230344547,0.000256171450018883,0.0545751228928566
"C1orf159",0.467995792627335,0.0751017034053802,0.00099175947252661,0.410440713167191,0.00207790639251471,0.0049766693264246,0.00572010176256299,0.00305555807426572,0.000200603826669976,0.000230909383390099,0.00803499389439821
"LINC01342",0.00262213498353958,0.00337119516916573,0.000143765209941193,0.00262605957686901,0.00468116020783782,0.00367764220573008,0.000947705411817878,0.00311745726503432,0.000138960647745989,7.81025737524033e-05,0.00072739995084703
"AL390719.2",0.00345489080063999,0.0105913896113634,0.000949338369537145,0.00262213777750731,0.00246010767295957,0.00289742345921695,0.000708917563315481,0.00424361135810614,0.00016052316641435,0.000203053452423774,0.00159891555085778
"TNFRSF18",0.00199989788234234,0.0718797445297241,0.00017414904141333,0.0040991147980094,0.0295098870992661,0.00516017619520426,0.150042697787285,0.0056372182443738,0.000160071809659712,0.000184567528776824,0.0326820127665997
"TNFRSF4",0.00706425774842501,0.0286227874457836,0.000963275146204978,0.00285974703729153,1.39298498630524,0.0018086270429194,0.0207022186368704,0.00842484924942255,0.000188593738130294,0.000110645683889743,0.0524194426834583
"SDF4",1.60676300525665,1.18657791614532,0.00384962162934244,1.62275791168213,0.00108998653013259,3.04889059066772,0.292316317558289,0.548054039478302,0.0806650072336197,3.9560876757605e-05,0.262506872415543
"B3GALT6",0.00124039000365883,0.528504371643066,0.000362730526831001,0.00161246943753213,0.000500222551636398,1.51544713973999,0.0303543824702501,0.567067444324493,0.000240521505475044,6.30749927950092e-05,0.0814297050237656
"C1QTNF12",0.00185351353138685,0.00105620909016579,0.000156833266373724,0.00165377405937761,0.00143040344119072,0.00118957797531039,0.000738643575459719,0.568429470062256,0.000125126811326481,6.92050525685772e-05,0.000473600812256336
"UBE2J2",0.0356353409588337,0.0461087301373482,0.00180230115074664,0.426543712615967,1.03211677074432,1.37420701980591,0.0702048242092133,1.14060699939728,0.0480230450630188,0.0325155146420002,0.00720395380631089
"SCNN1D",0.00810492224991322,0.0500449351966381,0.00223905756138265,0.413155972957611,0.00453175697475672,0.00363656971603632,0.0153953963890672,0.00415017874911427,0.000112472058390267,8.678030280862e-05,0.00516640022397041
"ACAP3",0.595250487327576,0.174601837992668,0.0811142548918724,0.500913262367249,0.00850518047809601,0.00127186346799135,0.000349351845216006,0.00492149917408824,0.00151020276825875,1.73038260982139e-05,0.161026209592819
"PUSL1",0.438947081565857,0.0407307334244251,0.00248674489557743,0.00687416456639767,0.00306622730568051,0.00767740467563272,0.0246426872909069,0.00353340851143003,0.000228178862016648,6.6982458520215e-05,0.0206519905477762
"INTS11",0.000940938654821366,0.66368955373764,0.00975077413022518,0.00257030478678644,1.09148299694061,0.836451172828674,0.195132911205292,0.00503680435940623,0.000229978177230805,0.000184440170414746,0.237255856394768
"CPTP",0.798941254615784,0.0317117497324944,0.000455261179013178,0.433457553386688,0.00660374341532588,1.4237163066864,0.00248136278241873,0.00149276852607727,7.29894891264848e-05,0.000110747023427393,0.105475477874279
"TAS1R3",0.00302232033573091,0.00182381283957511,0.00428469805046916,0.00297961081378162,0.00279791816137731,0.00211590295657516,0.00120883551426232,0.00259538786485791,0.000181676747160964,0.000121884673717432,0.00415447913110256
"DVL1",0.529191076755524,0.0264754109084606,0.00512425182387233,0.0033994666300714,0.980487048625946,0.975663721561432,0.242441892623901,0.0146755436435342,0.000104620477941353,5.62151108169928e-05,0.0963427722454071
"MXRA8",0.497553408145905,0.62067985534668,0.0777411386370659,0.383331477642059,0.00329806306399405,0.985932171344757,0.0536614879965782,0.00307660619728267,0.00011242526670685,0.0306979399174452,0.488748580217361
"AURKAIP1",0.424778014421463,1.47212719917297,0.00198408914729953,0.408909618854523,1.08059346675873,0.00101689912844449,0.235531598329544,1.3626674413681,6.6616979893297e-05,0.00190924562048167,0.198708012700081
"CCNL2",1.7318434715271,0.800948977470398,0.108532033860683,0.466418832540512,1.01594126224518,1.49176752567291,0.0788591951131821,1.15533447265625,8.98062789929099e-05,0.101238191127777,0.240304201841354
"MRPL20-AS1",0.00593500304967165,0.100679241120815,0.000211450780625455,0.00178966450039297,0.00254104868508875,0.994760870933533,0.00204954040236771,0.00401966413483024,7.31691470718943e-05,0.0310446377843618,0.00045898457756266
"MRPL20",1.6520756483078,0.365207731723785,0.0573058873414993,1.2190625667572,2.55955457687378,1.56045782566071,0.255614161491394,2.05490255355835,1.19900760182645e-05,3.96577052015346e-05,0.233831092715263
"AL391244.2",0.00302530429325998,0.00171887851320207,0.000319137034239247,0.00223496882244945,0.00299650034867227,0.00327865569852293,0.000646873319055885,0.00255476450547576,0.000122117562568747,7.40236646379344e-05,0.00420498521998525
"ANKRD65",0.00258013582788408,0.0019158034119755,0.000226885298616253,0.00364262727089226,0.00255846884101629,0.00243368907831609,0.00145589152816683,0.00274021155200899,0.000149819403304718,0.000104922488390002,0.00201160181313753
"VWA1",0.510845720767975,1.23835575580597,0.00415708590298891,1.48550176620483,0.0112863918766379,2.25611233711243,0.00836512539535761,1.78372716903687,0.000108002139313612,0.000385649822419509,0.0936651825904846
"ATAD3C",0.00189544935710728,0.571473896503448,0.000111877190647647,0.00166568346321583,0.00278866430744529,0.00368763692677021,0.00108680163975805,0.00648120744153857,8.1810045230668e-05,4.70525628770702e-05,0.0278919972479343
"ATAD3B",0.46001660823822,0.0776661783456802,0.0202064774930477,0.400562345981598,1.08828628063202,0.00207036593928933,0.130318269133568,0.42677840590477,0.000350108923157677,0.0320792570710182,0.00324290920980275
"ATAD3A",0.456863164901733,0.128232687711716,0.016757482662797,0.00405929842963815,0.00590144237503409,0.00519746169447899,0.149321779608727,0.00214035459794104,0.000140873744385317,0.00012847813195549,0.000858153216540813
"TMEM240",0.00272008636966348,0.00189432874321938,0.000387279083952308,0.00275990506634116,0.0026231671217829,0.00264874333515763,0.000891378149390221,0.0027201275806874,0.000103246144135483,0.000105081307992805,0.00103023857809603
"SSU72",0.00205323332920671,1.19861328601837,0.0267965719103813,0.843989312648773,0.00351570453494787,0.00526025565341115,0.288928657770157,0.633601605892181,0.0828306078910828,0.097942590713501,0.398183435201645
"AL645728.1",0.00189157878048718,0.00150020304135978,0,0.00149630336090922,0.00239367294125259,0.00213222159072757,0.125621393322945,0.00221007317304611,7.03050172887743e-05,4.50766274298076e-05,0.00023362462525256
"FNDC10",0.00424202717840672,0.00549437664449215,0.00213068700395525,0.00326539389789104,0.00402224343270063,0.0017983082216233,0.0262607354670763,0.00226352061145008,0.000345706474035978,6.69159053359181e-05,0.0145926587283611
"AL691432.4",0.00226764846593142,0.00186534924432635,0.000171582549228333,0.00198364327661693,0.00223727547563612,0.00205613276921213,0.00169178668875247,0.00263313087634742,0.000273124082013965,0.000165789257152937,0.00123497319873422
"AL691432.2",0.00198010797612369,0.0150431785732508,0.000131927925394848,0.00250871130265296,0.00364317558705807,0.00282061495818198,0.00075260124867782,0.00410939706489444,0.0001213277791976,0.0304374415427446,0.0011709404643625
"MIB2",0.00300128548406065,0.0926937684416771,0.0183160975575447,0.422020703554153,1.06380414962769,0.00242016231641173,0.00860932655632496,0.00336875463835895,0.000110381537524518,0.000122660596389323,0.120276540517807
"MMP23B",0.00158049713354558,0.530299127101898,0.0218393206596375,0.441367357969284,0.00302656646817923,0.00349810998886824,0.0202927459031343,1.05089867115021,0.00108082569204271,0.0314275845885277,0.237286567687988
"CDK11B",0.00567013304680586,0.162583723664284,0.000752874475438148,0.0024837632663548,0.00188736175186932,0.00240105390548706,0.00178167643025517,0.00682110525667667,0.000103542435681447,0.000365311134373769,0.00148729595821351
"SLC35E2B",0.540646612644196,0.00329061434604228,0.0023632391821593,0.420700043439865,0.0126133225858212,0.00280643394216895,0.181300565600395,0.00172984728123993,0.0545166730880737,0.000302015017950907,0.00931670982390642
"CDK11A",0.00594763178378344,0.012148804962635,0.0429707579314709,0.00240025273524225,0.84014892578125,0.00198144512251019,0.00107695139013231,0.0139423087239265,8.60561631270684e-05,0.0320483148097992,0.021684380248189
"SLC35E2A",0.530984282493591,0.0282219294458628,0,0.00226349360309541,0.971907198429108,0.00346643198281527,0.0267194211483002,0.00263654976151884,0.00010843800555449,0.0312835164368153,0.122184902429581
"NADK",1.25660693645477,0.519611418247223,0.0166745577007532,0.0152933308854699,0.830839395523071,0.924124896526337,0.03651949390769,0.00241636391729116,0.000121249679068569,5.38224412593991e-05,0.21495209634304
"GNB1",1.55437982082367,0.682551741600037,0.0309916436672211,1.4731011390686,0.927338600158691,2.1981897354126,0.435511827468872,1.96605002880096,0.000162665572133847,0.0362126007676125,0.386137098073959
