"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24"
"SAMD11","C1QTNF12","AL021155.5","RNF207","C1orf159","AL691432.2","LINC02593","AL157904.1","AL357140.2","LRP8","AL390719.2","LINC02766","STPG1","MDS2","SLFNL1","KLHL17","CFAP74","AL356356.1","TMEM52","TMEM240","LINC01409","LINC00115","C1orf159","TNFRSF4"
"TNFRSF14-AS1","PRXL2B","AL020996.1","ZMYM1","FNDC10","CDK11B","TMEM52","GJA5","KIAA1324","PKN2-AS1","SLC22A15","C2orf16","LINC00626","BEND5","SGIP1","MRPL20-AS1","FBLIM1","AC017083.2","PANK4","FBXO6","PERM1","PUSL1","PEX10","SCNN1D"
"SLC25A33","TMEM201","COL16A1","TSPAN1","MMP23B","NMNAT1","CFAP74","TDRD5","CYS1","HIPK1-AS1","MUC1","AC131097.2","AL353708.1","HIST2H2BF","EPS8L3","PRDM16","ZBTB17","ZKSCAN7","HES5","ZNF683","SLC35E2A","LNCTAM34A","PRDM16-DT","MORN1"
"MFAP2","RBP7","AC004865.2","IFI44L","WRAP73","CROCC","WRAP73","AL162431.1","POU3F3","AL121652.1","PAQR6","NCAPG","RGSL1","FCER1A","RAB25","ACOT7","LUZP1","HESX1","DFFB","RPS6KA1","LINC01134","NMNAT1","MIIP","AL139246.5"
"KIF17","FBXO6","OXCT2","LRRC8C","UTS2","ATP13A2","MIR34AHG","SYT2","CLCN2","LINC02580","LINC01133","SEMA6A-AS1","GPR1","AL136454.1","VANGL2","GPR157","ZNF436-AS1","AC147067.1","TNFRSF25","SLC9A1","SLC2A5","BX284668.5","HSPB7","TPRG1L"
"AHDC1","CLCN6","MROH7","CYB561D1","CTNNBIP1","ASAP3","CTNNBIP1","SSUH2","AC008937.3","CCDC148","AL136372.2","Z97989.1","AC098820.1","KCNF1","CAPN8","RBP7","FAM76A","UGT2A1","NOL9","SYTL1","PIK3CD-AS2","IGSF21","NBL1","PLEKHG5"
"AL360012.1","PDPN","NEGR1","SRGAP2B","IGSF21","NIPAL3","TMEM51","PRRT3-AS1","C5orf46","AC092053.4","MFSD4A","LINC00681","AC073641.1","AC012557.1","LEFTY1","FBXO42","TRNAU1AP","CXXC4","KLHL21","XKR8","ANGPTL7","KIF17","PLA2G2A","TNFRSF9"
"TMEM234","AL109627.1","HFM1","NBPF10","ZBTB40","RCAN3","GPATCH3","CDHR4","AC011365.1","ZNF502","RHEX","AL138781.1","AC026191.1","AC126182.3","AC018742.1","KDM1A","GJB3","AL138831.2","VPS13D","AL049795.2","SMPDL3B","RAP1GAP","UBXN10","AL034417.3"
"ZBTB8A","KLHDC7A","PPM1J","BGLAP","RCAN3AS","AL512408.1","NR0B2","ROBO2","C6orf132","P2RY14","C1orf116","AL161645.1","CDC25A","DCAF4L1","BCL11A","LINC01355","MTF1","AL662791.1","ZBTB17","OSCP1","ADGRB2","ID3","WNT4","CENPS"
"GNL2","UBXN10","CASQ2","APOA2","RCC1","RCC1","KHDRBS1","CIP2A","AL035446.1","CEP72","CHRM3-AS2","CCDC15","AC108693.2","AC104785.1","ANKRD30BL","WDTC1","RLF","FRS3","BX284668.5","LINC01137","AZIN2","TRNP1","NIPAL3","AL109811.2"
