"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25","Pattern_26","Pattern_27","Pattern_28"
"CCDC30","AP006222.2","TAS1R3","LINC01777","CDK11A","AL627309.1","LINC00115","AL162741.1","AL109917.1","LINC01777","LINC00115","PLEKHN1","AL391244.2","AC119674.1","AC092687.3","AL360270.3","CLCNKB","CD160","AL031432.4","PLA2G2C","MXRA8","TMEM82","AL645608.7","RGS13","FO704657.1","CLCNKA","FAM41C","AC012065.4"
"CCDC18","ANKRD65","AL590822.1","AL031848.2","TTC34","AL390719.2","TMEM240","AJAP1","PRDM16","PLEKHG5","TP73","C1QTNF12","PRDM16-DT","AL158847.1","ERMN","AC010884.1","AC107222.2","AL590560.2","SLFNL1-AS1","AC019171.1","FNDC10","PLA2G2A","OSCP1","LINC01119","AL031848.2","ZRANB2-AS2","AL031283.1","AC093635.1"
"WNT2B","ATAD3C","AL031847.1","RERE-AS1","LINC01134","AL139424.2","AL590438.1","C1orf127","UTS2","AL359881.1","AL034417.3","LINC00337","Z98884.2","ANKRD45","AC007405.2","AC010148.1","AL358154.1","CCDC181","SPRR1A","AC073987.1","MMP23B","FCN3","AC092807.3","LINC02611","AL450998.2","AL391497.1","Z98257.1","AC010680.2"
"NBPF10","AL590822.3","LINC01783","MIR34AHG","AJAP1","SLC25A34","AL354743.2","AL137802.1","PIK3CD-AS2","SLC45A1","CORT","AL357140.2","TNFRSF9","AC093677.2","AC096751.2","LINC00877","MYRF-AS1","NRIR","AL445228.2","LINC01818","TNFRSF14-AS1","FNDC5","RBM15-AS1","SH3RF3-AS1","AL137802.2","C2CD4D","AL021154.1","AC112236.3"
"RPS27","HES5","PLA2G5","AL121992.3","AL034417.2","FAM131C","AL365330.1","AL020997.2","AL109811.1","AL020997.3","AL020996.1","AL139424.2","AL034417.2","C6orf47-AS1","AC093523.1","AC113404.1","PDX1","NAA11","LINC00628","CERS6-AS1","MEGF6","TRABD2B","FAM72C","ANKDD1B","LINC01141","RXRG","RHCE","GPR150"
"APOA2","LINC00337","CLSPN","LINC02596","ENO1-AS1","AL451042.2","LINC01134","CSMD2","FHAD1","SMPDL3B","KDF1","AL137798.1","SPATA21","AL078600.1","EBF3","AC091987.1","AL138999.1","HOXA1","AL591846.2","AC116317.1","C1orf167","AL445183.2","AC245014.3","DPP6","CDA","TMCO1-AS1","LINC01715","STARD4-AS1"
"SERPINC1","HES2","FAM183A","LINC01635","RBP7","LINC01772","BX284668.6","GUCA2A","PLA2G2D","SPOCD1","OPRD1","STPG1","NBPF3","AL355881.1","MYRF-AS1","AC104574.2","DRC3","AC008154.1","TOGARAM2","AC108519.1","PDPN","NEXN","AC239799.1","PLEKHS1","AL031432.4","AL645568.1","OPRD1","C10orf142"
"GLUL","RERE-AS1","ELAVL4","HTR1D","UQCRHL","EMC1-AS1","AL139254.3","BEND5","CNR2","CCDC30","AC114489.1","ZNF683","RCAN3AS","AL162582.1","AC066612.2","AC007952.6","AC008537.4","RP1L1","SIX2","AC093898.1","TMEM51","TMIGD3","NHLH1","AC015660.3","AL606491.1","LGR6","MATN1-AS1","ARRDC5"
"CFH","SLC2A5","NFIA-AS2","AL109936.2","AL031432.5","E2F2","ZNF436-AS1","KANK4","RUNX3","AL357079.1","C1orf216","PTAFR","AL020997.3","AC079089.1","AC020663.3","ZNF280B","AC011466.1","AC084125.2","C2orf15","PRR27","HSPB7","HAO2","DUSP27","CLUL1","CSMD2","AC020594.1","AL049795.1","AL353194.1"
"C4BPA","EXOSC10-AS1","AC103923.1","IFNLR1","AL360012.1","FAM110D","NCMAP","LRRIQ3","CD52","LINC01144","GRIK3","AZIN2","BMP8A","AP001574.1","CST5","LINC02269","GK-IT1","AL138955.1","LINC01823","AC104596.1","MFAP2","NBPF14","AL359962.3","AP005328.1","AL139286.2","AC006460.2","RIMS3","LINC01747"
"EPHX1","AL021155.5","AC119800.1","RCAN3","ZSCAN20","RAB42","AUNIP","AC099568.2","AL137857.1","FOXD2","AL356055.1","SNIP1","AC098484.2","AC103853.1","AP001172.1","AC005696.1","AC016730.1","CHRFAM7A","AC110620.2","AC079742.1","FAM43B","CRP","RABGAP1L-DT","AC110015.1","OSCP1","AC007383.2","AL512353.1","LINC02067"
"APOB","FHAD1","SAMD13","NR0B2","GJB3","LINC01778","MATN1-AS1","TBX15","AC004865.2","AL109659.2","OXCT2","MIR3659HG","ARTN","ARHGAP20","BACH1-IT1","AL844892.2","SCART1","AC021739.2","AC112721.1","AC004593.2","WNT4","CD84","TEX35","AC232271.1","SLC2A1-AS1","AC096861.2","KIF2C","CATIP"
"TMSB10","PADI2","LINC01140","GPR3","IPP","ADGRB2","EPHA10","HIST2H4A","SZT2-AS1","AL603840.1","ZFP69","AL139260.1","BEND5","AC007655.2","AP000302.1","AL451085.1","AC010247.2","LINC02195","EAF1-AS1","AP003465.1","CNKSR1","NOS1AP","CTSE","PDGFRL","LINC01144","LINC02028","LURAP1","LINC02259"
"TTN","ACTL8","GSTM5","LINC01778","STIL","AZIN2","ZFP69B","SV2A","AL357079.2","ST6GALNAC3","NFYC-AS1","HIVEP3","IL12RB2","AC084018.2","SLITRK4","AC009034.1","CFAP43","RCVRN","ADH7","AC108002.2","ZNF683","RGS18","AC096637.2","LINC01428","MROH7","FSTL4","AL606760.1","AP005262.2"
"FN1","PINK1-AS","LAMTOR5-AS1","IQCC","AL050343.3","AL513327.2","RIMKLA","AL589986.2","ARMH1","COL11A1","AC098484.2","SZT2-AS1","ERICH3","AL590807.1","MAMSTR","ST8SIA3","LMTK3","AC007663.3","TRAM1L1","FAM27E3","TRNP1","LINC02608","AL160408.3","AK7","DNAJC6","AC113361.1","DHCR24-DT","LTK"
"RPL37A","NBPF3","LINC02798","TCTEX1D4","ORC1","AL033527.3","AL139220.2","BX470102.2","SHISAL2A","PPM1J","KDM4A-AS1","KDM4A-AS1","AL049597.2","AL137100.3","AC132872.5","AC007349.4","AC005899.7","MLC1","LINC00992","SPDYC","TENT5B","ALKAL2","LINC01122","IL20RA","TCTEX1D1","PSORS1C1","AL445205.1","AC012625.1"
"IGFBP2","CDC42-AS1","NUDT17","MROH7","CYB5RL","AL603839.3","BEST4","CRABP2","MCOLN2","DCST1","HPDL","CCDC163","AC118469.2","AL583722.2","LRRC46","AC114781.2","CACNA1C-AS2","AC091167.5","LINC02208","AP002992.1","PTAFR","LINC01320","AC016747.2","AC073534.2","AL354760.1","MEI4","RAVER2","AP003419.3"
"PTMA","NCMAP","BNIPL","LINC02777","AC093424.1","FAM183A","AC104170.1","KCNJ9","HFM1","FCRL6","AL606760.1","AL513218.1","KIAA1324","AC066612.1","AC019193.2","CPO","AL137002.1","LINC00383","SMIM32","SLC2A14","TMEM200B","BMP10","CCNT2-AS1","AC008764.8","HIPK1-AS1","LIN28B","NEGR1","AL360219.1"
"RPL32","FAM76A","AL589765.6","AL359894.1","EFCAB7","AL139289.2","AL359258.2","LINC01675","NTNG1","VANGL2","PARS2","RAVER2","WARS2-AS1","GRIN2A","AL139041.1","AL591623.1","SLC4A11","AC108047.1","PCDHGB6","SLCO1B7","FABP3","ADD2","AC092652.1","SMIM22","SPAG17","AL360007.1","LRRIQ3","AC090469.1"
"RPL29","TMEM200B","SPRR3","AL354872.2","DNAJC6","CCDC163","KCNA3","LINC00626","KIAA1324","RABGAP1L-DT","AC099792.1","CCDC18","AL359915.1","AC244100.2","AC124283.3","COX6B2","AC125437.1","CFAP53","MCCD1","PPFIA2-AS1","COL16A1","ANKRD53","GALNT13","LIF","AC245297.2","STRA8","AC103591.3","AC092652.2"
"ITIH3","NKAIN1","S100A2","NEGR1","AC104836.1","AL606760.2","LINC01762","AL591043.2","AL365361.1","AL162431.1","EFCAB7","GPR88","LINC00622","AC004590.1","AC010203.2","AC087742.1","AC090578.1","ARHGAP40","KHDRBS2-OT","LINC02412","CCDC28B","HK2","AC008269.1","AL078600.1","TSACC","AC062004.1","DNASE2B","GABRR3"
"MTRNR2L12","SYNC","CHRNB2","AC104454.2","AL356488.2","LDLRAD1","TBX15","COLGALT2","AL355816.1","RGS18","GLMN","AL390195.2","AL590133.2","AP000569.1","GGTLC1","TMEM217","BX322562.1","AC010680.4","MESTIT1","AC004846.1","COL8A2","ANKRD36","CPS1-IT1","AC018809.2","CFAP45","SCUBE2","SYDE2","AL136295.2"
"ZBTB20","DLGAP3","RUSC1-AS1","LRRC8C","ALX3","AC093425.1","AC253572.1","ERVMER61-1","DENND2D","REN","CCDC18-AS1","AC253572.2","KCNJ10","GGTLC2","PCDHA1","HOXC9","AL136295.7","AL049840.3","AC068587.4","AC092132.1","HEYL","LINC01127","AC053503.2","BX323046.2","AL391001.1","ANO3","AL049597.2","PPP4R1-AS1"
"TF","AC004865.2","AL139130.1","AC104836.1","AL390195.1","SGIP1","ANKRD35","IL10","CHI3L2","AC119673.2","AC118553.1","SRGAP2B","AL121987.2","AC244102.1","AL138820.1","AL354696.2","AP006284.1","AL451007.3","MIR31HG","AC141273.1","EDN2","MARCO","AC093495.1","AL035681.1","Z99572.1","AP007216.2","AL109613.1","AC090617.3"
"AHSG","SH3D21","AL590666.2","FRRS1","CD101","DIRAS3","AC239809.3","IL19","PPM1J","FAM72A","WDR47","FAM72D","TGFB2-AS1","FAM166B","MTRNR2L10","CIRBP-AS1","SERF1A","HIST4H4","BX470209.2","AC087292.1","TMEM125","EPHA4","AC092910.3","AL009178.2","DNM3","H1FNT","KCNA2","AC048382.5"
"KNG1","ZMYND12","LINC01133","AL356488.3","LINC02591","LINC01758","TMOD4","LINC02767","LRIG2-DT","LINC02773","MYBPHL","CA14","PGBD5","CLEC4C","AC006042.4","AC004938.2","ADAMTS18","AC010809.1","C10orf62","DSG3","PODN","SPP2","LINC02082","RBMY1E","AL645568.1","ANO4","LINC02804","CTF1"
