"Pattern_1","Pattern_2","Pattern_3","Pattern_4","Pattern_5","Pattern_6","Pattern_7","Pattern_8","Pattern_9","Pattern_10","Pattern_11","Pattern_12","Pattern_13","Pattern_14","Pattern_15","Pattern_16","Pattern_17","Pattern_18","Pattern_19","Pattern_20","Pattern_21","Pattern_22","Pattern_23","Pattern_24","Pattern_25"
"MIB2","SLC35E2B","HES4","AL691432.2","KLHL17","TNFRSF4","PEX10","LINC01128","AGRN","MRPL20-AS1","ACAP3","INKA2","AHDC1","TSSK3","SAMD11","C1QTNF12","AL109811.2","FYB2","SLC9A1","AL109811.1","OTUD3","AL645728.1","LINC00115","ANKRD65","LINC01128"
"CDK11A","SLC35E2A","MMP23B","LUZP1","TMEM52","ATAD3C","GPR153","ARHGEF16","TNFRSF4","PRXL2B","ANKRD65","SYT11","LINC01138","TCTEX1D1","AL604028.1","CLCNKB","IGSF21","ECM1","SEMA4A","KAZN","GBP5","KAZN","WRAP73","LINC02606","CDK11A"
"AL031847.1","PEX10","CDK11B","RCAN3","TNFRSF14-AS1","ATAD3B","RERE","WRAP73","MIB2","NOL9","PANK4","LMOD1","FCGR1A","GPR37L1","ECM1","LINC01355","RIMS3","ANKRD36B","NFASC","ZMYM6","PTPN22","KCNQ4","ZBTB48","KIF1B","AL031847.1"
"SZRD1","ARHGEF16","NPHP4","AL020996.1","KCNAB2","PRDM16-DT","VPS13D","ICMT","ZBTB48","KLHL21","MEGF6","PIGR","S100A2","CHN1","TDRKH-AS1","TRIT1","AL160006.1","C2orf92","AL592148.3","EDN2","TENT5C","PDZK1IP1","AL139424.2","NBL1","PHF13"
"SPATA21","AL139424.2","CLSTN1","FCN3","TNFRSF25","PIK3CD","CASP9","MIR34AHG","LZIC","CASP9","RNF207","AL390728.6","CD1B","GK5","AC007240.3","AL590133.2","CHROMR","TSGA10","QPCT","NOS1AP","AC017083.2","IFI44L","FBXO6","MUL1","CTNNBIP1"
"RCC2","CENPS","CLCN6","LCK","THAP3","PRDM2","CPLANE2","EFHD2","AGTRAP","ZBTB17","CTNNBIP1","AC019080.6","FCGR3B","LIN54","LPP-AS2","S100A9","PID1","THRB-AS1","SP140","KIAA1841","SH3RF3","SH2D2A","EIF4G3","RUNX3","CENPS"
"ACTL8","PEX14","PLEKHM2","ZBTB8A","GPR157","EIF4G3","RUNX3","AL109627.1","CLCN6","SPATA21","DFFA","AC012063.1","TNNT2","FGD2","TM4SF19-AS1","SH3YL1","CD200","ZNF619","PASK","AC079753.2","FAP","TRIM67","IFNLR1","WDTC1","PEX14"
"RAP1GAP","ATP13A2","TMEM82","AL139260.1","TMEM201","LINC02596","FGR","TMCO4","PRDM2","NBPF1","FBXO44","LINC00870","PCNX2","VNN3","LINC02062","U91324.1","AC024560.1","ZNF595","PFN2","ACVR1C","BARD1","CHRM3","NCMAP-DT","SESN2","FBXO6"
"IL22RA1","USP48","CPLANE2","GUCA2B","NMNAT1","WNT4","PPP1R8","ELOA-AS1","EFHD2","BX284668.5","VPS13D","AC098680.2","RGPD2","AL035530.2","AC091393.2","RRM2","SCOC-AS1","CATSPER3","FAM13A-AS1","FTCDNL1","BOC","AC110769.2","MTFR1L","PHACTR4","TMEM82"
"EPB41","CDC42-AS1","AL137802.2","KTI12","EXOSC10","EPHB2","MED18","IFNLR1","PLEKHM2","UBR4","CROCC","UGT2B28","UBE2E2","GPR141","OR2I1P","ARHGAP25","AC091393.2","DND1","SLC1A3","PFKFB4","NCK1-DT","LINC00471","PAQR7","ZBTB8OS","RCC2"
"SRSF4","AL109936.2","KLHDC7A","FAM151A","MTHFR","ID3","TMEM234","STMN1","ZNF436","PLA2G2D","PLA2G2D","ODAM","FSTL1","SFRP4","B3GAT2","ST3GAL5","NFYA","ADAMTS2","SNHG4","AC093001.2","ALPK1","CD200","ZDHHC18","C1orf216","KLHDC7A"
"AGO4","NIPAL3","SLC66A1","DHCR24-DT","DNAJC16","PITHD1","ZBTB8OS","PTPRU","SYF2","LINC00339","SRRM1","NPY1R","SIAH2-AS1","MTMR9","CASTOR2","GPAT2","LINC00472","HIST1H2BK","LY86","CENPU","AC021205.3","CLRN1-AS1","GPATCH3","MYCBP","IFFO2"
"GNL2","FAM110D","CDC42-AS1","LINC01767","AL121992.3","SRSF10","ADPRHL2","AGO1","WASF2","ELOA-AS1","RSRP1","C5orf49","C3orf80","BCAT1","SAMD9L","ARL6IP6","WASF1","CTAGE9","CHN2","AC136604.2","CNPY4","AC016773.1","MED18","MOB3C","USP48"
"MYCBP","ARID1A","KDM1A","ANKRD13C","SPEN","PIGV","SLC6A9","IPO13","STX12","AL606491.1","MACO1","LINC02198","AC108519.1","AC005520.5","SSPO","SGO1","AL672310.1","SOD2-OT1","ATP6V0E2-AS1","FAM135A","ZNF775","MCUB","TRNAU1AP","NDC1","CEP85"
"PRPF38A","WASF2","ID3","PKN2-AS1","EPHA2","GPATCH3","PLK3","LINC00853","SNHG3","CD52","PAFAH2","SMN1","AASDH","DEGS2","HSPA14","CLCN2","LFNG","CAHM","ZNF775","MDFIC","MYBL1","AC112236.2","SNRNP40","HSPB11","WDTC1"
"LEPR","LAPTM5","NCMAP","TGFBR3","AL137798.1","MAP3K6","TCTEX1D4","OSBPL9","TRNAU1AP","TAF12","CEP85","ATP6AP1L","CXCL11","TEKT5","HSPA14","NEK1","GLIPR2","OSBPL3","SPAG1","KBTBD11","PDP1","AC012640.4","RNF19B","ATG4C","STX12"
"MIER1","TINAGL1","SRRM1","KCND3","ZBTB40","SESN2","POMGNT1","NDC1","HDAC1","EPB41","UBXN11","LINC01942","LINC01094","AC116407.2","MINDY3","NIPBL-DT","PLAC9","AC004918.4","ZNF34","AC009812.1","ZNF16","NR2F1-AS1","TMEM35B","AL354872.2","PTPRU"
"LMO4","AGO1","MTFR1L","SLC16A1-AS1","LUZP1","SNHG3","CC2D1B","ZNF326","SYNC","SDC3","WDTC1","HIST1H2BG","C4orf46","ADGRE2","RAB3IL1","DNAJC18","AL731569.1","PRSS1","NRARP","AP5B1","PCF11-AS1","LCP2","KIAA0319L","DNAJB4","HDAC1"
"LRRC8B","SNIP1","DHDDS","AL358472.3","LINC01355","KIAA0319L","PARS2","ZNF644","MTF1","KIAA1522","PTP4A2","AK9","GTF2H2C","AC092329.4","SPINDOC","C6orf47-AS1","TRIM6","MSR1","ZNF485","UCP3","CEP152","POLH","ERMAP","ADGRL4","S100PBP"
"ALG14","GNL2","TINAGL1","SLAMF1","ASAP3","ZC3H12A","OMA1","MTF2","INPP5B","ZNF362","KPNA6","KPNA5","AC146944.4","ZNF417","AP002381.2","TEAD3","SLCO1B7","EDRF1-DT","HK1","AC084018.2","ZNF500","AL356599.1","TMEM69","SPATA1","ZMYM1"
"STXBP3","AL603839.3","KPNA6","CD48","RSRP1","SZT2","AC099791.2","BCAR3","MFSD2A","ZMYM4","FNDC5","STXBP5-AS1","AL136162.1","AL035252.3","PDGFD","MAPK13","AVIL","AP003307.1","FAR1","RB1","AC090617.3","AL158206.1","CYP4X1","ABCA4","ZNF684"
"AL356488.3","PPIH","FNDC5","KLHDC9","RHCE","DPH2","LINC01702","AC095033.1","ERMAP","SNIP1","LINC01137","TAGAP","TRIM31","ALPK1","TREH","FIG4","AK7","NEMP1","NRXN2","AL162377.1","TBC1D3L","AL592211.2","FAF1","AC105942.1","ZMYND12"
