time,V_C.nT1,V_C.T1,V_C.nT0,V_C.T0,V_C.nivolumab,V_C.cabozantinib,V_C.A_site1,V_C.A_site2,V_P.nT1,V_P.T1,V_P.nT0,V_P.T0,V_P.nivolumab,V_P.cabozantinib,V_T.C_x,V_T.T_exh,V_T.C1,V_T.T1,V_T.T0,V_T.APC,V_T.mAPC,V_T.c,V_T.P0,V_T.P1,V_T.nivolumab,V_T.cabozantinib,V_T.v_cabo,V_LN.nT1,V_LN.aT1,V_LN.T1,V_LN.IL2,V_LN.nT0,V_LN.aT0,V_LN.T0,V_LN.APC,V_LN.mAPC,V_LN.nivolumab,V_LN.cabozantinib,V_e.P0,V_e.p0,V_e.P1,V_e.p1,A_e.M1,A_e.M1p0,A_e.M1p1,A_s.M1,A_s.M1p0,A_s.M1p1,syn_CT.PD1_PDL1,syn_CT.PD1_PDL2,syn_CT.PD1_aPD1,syn_CT.PD1_aPD1_PD1,syn_CT.PDL1_aPDL1,syn_CT.PDL1_aPDL1_PDL1,syn_DN.CD28_CD80,syn_DN.CD28_CD80_CD28,syn_DN.CD28_CD86,syn_DN.PDL1_CD80,syn_DN.CTLA4_CD80,syn_DN.CTLA4_CD80_CTLA4,syn_DN.CD80_CTLA4_CD80,syn_DN.CTLA4_CD80_CTLA4_CD80,syn_DN.CTLA4_CD86,syn_DN.CD86_CTLA4_CD86,syn_DN.CTLA4_aCTLA4,syn_DN.CTLA4_aCTLA4_CTLA4,syn_DN.PDL1_aPDL1,syn_DN.PDL1_aPDL1_PDL1,Treg_P.CTLA4_aCTLA4,Treg_P.CTLA4_aCTLA4_CTLA4,Treg_T.CTLA4_aCTLA4,Treg_T.CTLA4_aCTLA4_CTLA4
0,158.761,26408.8,3.12919,14093.7,0,0,0,0,1316.85,150214,25.9702,119209,0,0,1.55236e+07,1.48304e+08,7.66161e+10,4.16747e+08,1.03992e+10,3.64835e+06,2.44176e+06,2307.58,1.06357e-06,1.06357e-07,0,0,3.17454e+12,12.6769,154.029,3.39016e+09,2.98773e-08,0.0311459,61.1075,1.8091e+09,5e+08,2.03275e+07,0,0,8.86492e-07,1.03256e-07,8.86492e-08,1.03255e-08,486.307,0.25097,0.0251043,6.95139,4.13357,1.05231,19.5743,1.76567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,158.762,20741.2,3.12919,11069.4,2.56472e-07,1.73308e-07,2.14094e-05,1.09991e-05,1316.85,147693,25.9702,117771,5.43228e-10,2.27353e-11,1.58501e+07,1.48274e+08,7.67792e+10,4.17339e+08,1.03992e+10,3.65667e+06,2.4474e+06,2314.97,1.16494e-06,1.16494e-07,2.37138e-07,8.97142e-08,3.10952e+12,12.6788,154.024,3.39006e+09,2.98763e-08,0.0311461,61.1075,1.8091e+09,5e+08,2.03745e+07,9.55874e-08,8.79558e-10,9.50262e-07,1.10404e-07,9.50262e-08,1.10403e-08,486.384,0.265009,0.0265085,6.95265,4.13184,1.05211,18.5691,1.71019,0.0503179,0.508673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,158.762,21180.3,3.12919,11304.1,2.51672e-07,1.6104e-07,1.97819e-05,1.0844e-05,1316.85,145507,25.9702,116490,1.06068e-09,2.11259e-11,1.6698e+07,1.48202e+08,7.69415e+10,4.17997e+08,1.03992e+10,3.66479e+06,2.45299e+06,2343.02,1.27857e-06,1.27857e-07,2.32679e-07,8.33635e-08,3.04496e+12,12.6808,154.024,3.38995e+09,2.98755e-08,0.0311464,61.1076,1.8091e+09,5e+08,2.04216e+07,9.40216e-08,8.17295e-10,1.04316e-06,1.21198e-07,1.04316e-07,1.21197e-08,486.394,0.290857,0.0290941,6.95306,4.13125,1.05202,17.6074,1.63759,0.0530493,1.02654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,158.762,21625.2,3.12919,11541.9,2.46994e-07,1.49686e-07,1.8278e-05,1.06911e-05,1316.85,143638,25.9702,115360,1.55394e-09,1.96365e-11,1.79111e+07,1.48106e+08,7.71033e+10,4.18719e+08,1.03992e+10,3.67277e+06,2.45851e+06,2391.48,1.39994e-06,1.39994e-07,2.28333e-07,7.74861e-08,2.98223e+12,12.6825,154.034,3.38985e+09,2.98755e-08,0.0311464,61.1077,1.8091e+09,5e+08,2.04688e+07,9.24397e-08,7.59674e-10,1.14279e-06,1.32783e-07,1.14279e-07,1.32782e-08,486.33,0.318726,0.0318818,6.95245,4.13205,1.05207,16.7208,1.56186,0.0559142,1.50825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,158.762,22075.9,3.12919,11782.7,2.42434e-07,1.39183e-07,1.68885e-05,1.05404e-05,1316.85,142065,25.9702,114373,2.02393e-09,1.82586e-11,1.93941e+07,1.47996e+08,7.72646e+10,4.19505e+08,1.03992e+10,3.68066e+06,2.46396e+06,2460.06,1.52917e-06,1.52917e-07,2.24096e-07,7.20491e-08,2.92129e+12,12.6841,154.058,3.38977e+09,2.98771e-08,0.0311464,61.1079,1.8091e+09,5e+08,2.0516e+07,9.08952e-08,7.0637e-10,1.24896e-06,1.45129e-07,1.24896e-07,1.45128e-08,486.19,0.348383,0.0348483,6.95075,4.13431,1.05227,15.8982,1.48785,0.0589108,1.95683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,158.762,22557.1,3.12919,12039.7,2.37988e-07,3.02773e-07,3.70141e-05,2.13909e-05,1316.85,140774,25.9702,113527,2.47153e-09,3.9719e-11,2.10903e+07,1.4788e+08,7.74238e+10,4.20353e+08,1.03992e+10,3.68846e+06,2.46934e+06,2548.53,1.66633e-06,1.66633e-07,2.19964e-07,1.56732e-07,2.85873e+12,12.6852,154.095,3.38972e+09,2.98807e-08,0.0311461,61.1083,1.8091e+09,5e+08,2.05632e+07,8.93852e-08,1.5366e-09,1.36172e-06,1.58245e-07,1.36172e-07,1.58244e-08,485.967,0.379827,0.0379936,6.94791,4.13814,1.05263,15.1326,1.41734,0.0620374,2.37502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,158.762,23049.9,3.12919,12302.8,2.33652e-07,2.81516e-07,3.42003e-05,2.10893e-05,1316.85,139755,25.9702,112821,2.8976e-09,3.69304e-11,2.29655e+07,1.4776e+08,7.7582e+10,4.21262e+08,1.03992e+10,3.69618e+06,2.47467e+06,2656.69,1.81144e-06,1.81144e-07,2.15934e-07,1.45729e-07,2.7976e+12,12.6859,154.148,3.38971e+09,2.98868e-08,0.0311456,61.1087,1.8091e+09,5e+08,2.06103e+07,8.79097e-08,1.42872e-09,1.48111e-06,1.72134e-07,1.48111e-07,1.72132e-08,485.659,0.413046,0.0413165,6.94385,4.14362,1.05315,14.4185,1.35088,0.0652923,2.76522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,158.763,23551.1,3.12919,12570.1,2.29423e-07,2.61843e-07,3.16003e-05,2.0792e-05,1316.86,138993,25.9702,112250,3.30295e-09,3.43497e-11,2.49996e+07,1.47639e+08,7.77396e+10,4.22231e+08,1.03992e+10,3.70383e+06,2.47994e+06,2784.37,1.96446e-06,1.96446e-07,2.12004e-07,1.35545e-07,2.7381e+12,12.686,154.217,3.38975e+09,2.98956e-08,0.0311449,61.1091,1.8091e+09,5e+08,2.06573e+07,8.64681e-08,1.32888e-09,1.6071e-06,1.86793e-07,1.6071e-07,1.86791e-08,485.26,0.448013,0.0448142,6.93852,4.15082,1.05385,13.7516,1.28849,0.0686736,3.12964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,158.763,24060.7,3.12919,12841.7,2.25298e-07,2.43641e-07,2.91981e-05,2.04989e-05,1316.86,138474,25.9702,111807,3.68838e-09,3.19619e-11,2.71799e+07,1.47518e+08,7.78962e+10,4.23262e+08,1.03992e+10,3.71143e+06,2.48517e+06,2931.38,2.1253e-06,2.1253e-07,2.08169e-07,1.26123e-07,2.68018e+12,12.6855,154.301,3.38985e+09,2.99073e-08,0.031144,61.1097,1.8091e+09,5e+08,2.07043e+07,8.50592e-08,1.23651e-09,1.73963e-06,2.02216e-07,1.73963e-07,2.02214e-08,484.767,0.484683,0.0484822,6.93186,4.15984,1.05473,13.128,1.23,0.0721791,3.47028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,158.763,24591.1,3.12919,13124.2,2.21273e-07,4.00109e-07,4.83878e-05,3.1209e-05,1316.86,138185,25.9702,111490,4.05465e-09,5.2488e-11,2.94986e+07,1.47398e+08,7.80512e+10,4.24353e+08,1.03992e+10,3.71897e+06,2.49036e+06,3097.55,2.2938e-06,2.2938e-07,2.04428e-07,2.07119e-07,2.62243e+12,12.6843,154.402,3.39003e+09,2.99219e-08,0.0311428,61.1102,1.8091e+09,5e+08,2.07511e+07,8.36815e-08,2.0306e-09,1.87858e-06,2.18389e-07,1.87858e-07,2.18387e-08,484.175,0.522995,0.0523146,6.92381,4.17075,1.0558,12.5444,1.17519,0.0758062,3.78894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
