time,agentCount.CD8.effector,agentCount.CD8.cytotoxic,agentCount.CD8.suppressed,agentCount.Th.default,agentCount.Treg.default,agentCount.MDSC.default,agentCount.cancerCell.Stem,agentCount.cancerCell.Progenitor,agentCount.cancerCell.Senescent,agentCount.mac.M1,agentCount.mac.M2,agentCount.vas.default,agentCount.fib.default,agentCount.APC.native,agentCount.APC.native,recruit.CD8.effector,recruit.CD8.cytotoxic,recruit.CD8.suppressed,recruit.Th.default,recruit.Treg.default,recruit.MDSC.default,recruit.cancerCell.Stem,recruit.cancerCell.Progenitor,recruit.cancerCell.Senescent,recruit.mac.M1,recruit.mac.M2,recruit.vas.default,recruit.fib.default,recruit.APC.native,recruit.APC.native,prolif.CD8.effector,prolif.CD8.cytotoxic,prolif.CD8.suppressed,prolif.Th.default,prolif.Treg.default,prolif.MDSC.default,prolif.cancerCell.Stem,prolif.cancerCell.Progenitor,prolif.cancerCell.Senescent,prolif.mac.M1,prolif.mac.M2,prolif.vas.default,prolif.fib.default,prolif.APC.native,prolif.APC.native,death.CD8.effector,death.CD8.cytotoxic,death.CD8.suppressed,death.Th.default,death.Treg.default,death.MDSC.default,death.cancerCell.Stem,death.cancerCell.Progenitor,death.cancerCell.Senescent,death.mac.M1,death.mac.M2,death.vas.default,death.fib.default,death.APC.native,death.APC.native,move.CD8.effector,move.CD8.cytotoxic,move.CD8.suppressed,move.Th.default,move.Treg.default,move.MDSC.default,move.cancerCell.Stem,move.cancerCell.Progenitor,move.cancerCell.Senescent,move.mac.M1,move.mac.M2,move.vas.default,move.fib.default,move.APC.native,move.APC.native,drop_in.CD8.effector,drop_in.CD8.cytotoxic,drop_in.CD8.suppressed,drop_in.Th.default,drop_in.Treg.default,drop_in.MDSC.default,drop_in.cancerCell.Stem,drop_in.cancerCell.Progenitor,drop_in.cancerCell.Senescent,drop_in.mac.M1,drop_in.mac.M2,drop_in.vas.default,drop_in.fib.default,drop_in.APC.native,drop_in.APC.native,drop_out.CD8.effector,drop_out.CD8.cytotoxic,drop_out.CD8.suppressed,drop_out.Th.default,drop_out.Treg.default,drop_out.MDSC.default,drop_out.cancerCell.Stem,drop_out.cancerCell.Progenitor,drop_out.cancerCell.Senescent,drop_out.mac.M1,drop_out.mac.M2,drop_out.vas.default,drop_out.fib.default,drop_out.APC.native,drop_out.APC.native,PDL1_frac
0,94,1747,49,363,1695,459,2752,494613,130144,3176,1563,6570,0,0,0,269,0,0,141,0,514,0,0,0,5548,0,0,0,0,0,55,2262,0,340,1577,0,482,2329949,0,0,0,0,0,0,0,50,618,28,0,0,55,143,28254,2289695,561,248,0,0,0,0,4217,56887,1033,10752,49632,1543,38776,11885359,3665013,56217,26978,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,480402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473832,0,0,0,135888
1,100,1729,47,376,1722,462,2753,496616,127654,3217,1586,6445,0,0,0,273,0,0,146,0,520,0,0,0,5639,0,0,0,0,0,59,2286,0,352,1600,0,487,2362049,0,0,0,0,0,0,0,50,661,31,0,0,58,147,29029,2321507,580,256,0,0,0,0,4315,58634,1082,11116,51331,1580,39321,12055356,3715009,57837,27765,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,486847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480402,0,0,0,137188
2,106,1727,44,385,1758,469,2748,498203,126157,3249,1599,6462,0,0,0,276,0,0,149,0,527,0,0,0,5708,0,0,0,0,0,63,2319,0,361,1633,0,489,2393963,0,0,0,0,0,0,0,50,697,34,0,0,58,154,29804,2352556,594,266,0,0,0,0,4418,60363,1129,11492,53056,1625,39859,12226899,3763920,59450,28565,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,493309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486847,0,0,0,138937
3,110,1728,43,388,1778,475,2754,499596,125106,3284,1614,6449,0,0,0,283,0,0,149,0,535,0,0,0,5778,0,0,0,0,0,63,2359,0,364,1653,0,498,2426115,0,0,0,0,0,0,0,51,738,35,0,0,60,157,30625,2383545,605,275,0,0,0,0,4531,62090,1173,11877,54814,1673,40433,12398167,3812003,61109,29382,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,499758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493309,0,0,0,140382
4,107,1752,41,395,1807,473,2754,501471,124049,3321,1639,6456,0,0,0,288,0,0,151,0,537,0,0,0,5858,0,0,0,0,0,64,2408,0,371,1680,0,504,2458773,0,0,0,0,0,0,0,51,772,37,0,0,64,163,31424,2414586,621,277,0,0,0,0,4646,63818,1216,12265,56594,1730,40955,12569092,3859601,62808,30211,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,506214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499758,0,0,0,142978
5,113,1741,40,411,1853,477,2754,501973,124552,3354,1658,6563,0,0,0,292,0,0,156,0,543,0,0,0,5938,0,0,0,0,0,72,2437,0,386,1722,0,506,2491172,0,0,0,0,0,0,0,52,817,38,0,0,66,165,32269,2445135,639,287,0,0,0,0,4757,65570,1257,12661,58405,1782,41524,12741443,3906659,64509,31079,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,512777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,506214,0,0,0,145267
6,122,1708,38,426,1892,480,2756,503176,123555,3400,1681,6558,0,0,0,295,0,0,158,0,549,0,0,0,6032,0,0,0,0,0,80,2450,0,400,1760,0,511,2523000,0,0,0,0,0,0,0,52,865,40,0,0,69,168,33078,2475948,656,295,0,0,0,0,4873,67311,1297,13073,60259,1832,42042,12911787,3953420,66223,31915,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,519335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,512777,0,0,0,146956
7,126,1706,38,438,1937,483,2755,505745,121151,3439,1690,6450,0,0,0,302,0,0,158,0,554,0,0,0,6102,0,0,0,0,0,80,2485,0,412,1805,0,515,2554595,0,0,0,0,0,0,0,52,905,40,0,0,71,173,33872,2506584,669,304,0,0,0,0,5002,69019,1335,13499,62151,1877,42568,13082558,4000091,68012,32783,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,525785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519335,0,0,0,147800
8,129,1739,36,446,1982,485,2754,508504,119088,3473,1721,6495,0,0,0,308,0,0,159,0,558,0,0,0,6187,0,0,0,0,0,82,2539,0,420,1849,0,518,2585811,0,0,0,0,0,0,0,53,930,42,0,0,73,177,34629,2536347,682,311,0,0,0,0,5134,70725,1373,13937,64089,1925,43088,13253636,4045566,69786,33659,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,532280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525785,0,0,0,149520
9,126,1731,34,447,2008,488,2751,509833,119247,3502,1741,6400,0,0,0,313,0,0,160,0,564,0,0,0,6261,0,0,0,0,0,82,2568,0,421,1874,0,520,2617107,0,0,0,0,0,0,0,57,971,44,0,0,76,182,35406,2565378,702,316,0,0,0,0,5268,72464,1409,14383,66072,1974,43643,13423582,4089750,71626,34551,0,0,0,0,0,0,0,0,0,0,2413,412196,200561,0,0,538680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532280,0,0,0,152362
